author,pronoun,verb
Clare,my,love
Clare,my,head
Clare,my,seat
Clare,my,birthplace
Clare,my,walking
Clare,my,hat
Clare,my,cloaths
Clare,my,rambles
Clare,my,heart
Clare,my,fancys
Clare,my,limbs
Clare,my,rambles
Clare,my,feet
Clare,my,fancys
Clare,my,seat
Clare,my,retreat
Clare,my,fancies
Clare,my,days
Clare,my,mind
Clare,my,spirits
Clare,my,good
Clare,my,door
Clare,my,memory
Clare,my,shadow
Clare,my,company
Clare,my,lords
Clare,my,wanderings
Clare,my,own
Clare,my,heart
Clare,my,breast
Clare,my,head
Clare,my,foot
Clare,my,hat
Clare,my,feet
Clare,my,thoughts
Clare,my,foot
Clare,my,steps
Clare,my,fancy
Clare,my,sheep
Clare,my,pen
Clare,my,hand
Clare,my,heart
Clare,my,lot
Clare,my,life
Clare,my,faults
Clare,my,memory
Clare,my,being
Clare,my,dust
Clare,my,grave
Clare,my,ashes
Clare,my,heart
Clare,my,esteems
Clare,my,hands
Clare,my,wandering
Clare,my,fancy
Clare,my,mind
Clare,my,lack
Clare,my,heart
Clare,my,hair
Clare,my,length
Clare,my,origin
Clare,my,face
Clare,my,hat
Clare,my,will
Clare,my,fancys
Clare,my,hut
Clare,my,friend
Clare,my,faith
Clare,my,days
Clare,my,gaze
Clare,my,play
Clare,my,fancys
Clare,my,spirits
Clare,my,heart
Clare,my,lonliness
Clare,my,fancy
Clare,my,mind
Clare,my,thirst
Clare,my,staff
Clare,my,journey
Clare,my,way
Clare,my,journey
Clare,my,journey
Clare,my,mind
Clare,my,heart
Clare,my,spirits
Clare,my,feet
Clare,my,nourishment
Clare,my,bosom
Clare,my,mind
Clare,my,feet
Clare,my,walks
Clare,my,feet
Clare,my,spade
Clare,my,weary
Clare,my,knees
Clare,my,spirits
Clare,my,taste
Clare,my,lot
Clare,my,song
Clare,my,example
Clare,my,heart
Clare,my,solitude
Clare,my,family
Clare,my,breast
Clare,my,body
Clare,my,thoughts
Clare,my,maker
Clare,my,goal
Wordsworth,my,steps
Wordsworth,my,course
Wordsworth,my,soul
Wordsworth,my,sight
Wordsworth,my,eyes
Wordsworth,my,pulse
Wordsworth,my,heart
Wordsworth,my,heart
Wordsworth,my,breast
Wordsworth,my,song
Wordsworth,my,son
Wordsworth,my,lay
Wordsworth,my,little-one
Wordsworth,my,years
Wordsworth,my,peers
Wordsworth,my,mind
Wordsworth,my,love
Wordsworth,my,sight
Wordsworth,my,foe
Wordsworth,my,trees
Wordsworth,my,nerves
Wordsworth,my,cheek
Wordsworth,my,desire
Wordsworth,my,soul
Wordsworth,my,heart
Wordsworth,my,mind
Wordsworth,my,tongue
Wordsworth,my,mind
Wordsworth,my,loss
Wordsworth,my,heart's
Wordsworth,my,sight
Wordsworth,my,spirit
Wordsworth,my,name
Wordsworth,my,temples
Wordsworth,my,verse
Wordsworth,my,heart
Wordsworth,my,mind
Wordsworth,my,state
Wordsworth,my,bosom
Wordsworth,my,spirit
Wordsworth,my,thraldom
Wordsworth,my,rest
Wordsworth,my,soul
Wordsworth,my,cam
Wordsworth,my,feet
Wordsworth,my,side
Wordsworth,my,sight
Wordsworth,my,child
Wordsworth,my,blessing
Wordsworth,my,thoughts
Wordsworth,my,doubts
Wordsworth,my,beloved
Wordsworth,my,cares
Wordsworth,my,partner
Wordsworth,my,hands
Wordsworth,my,nurslings
Wordsworth,my,words
Wordsworth,my,soul
Wordsworth,my,mind's
Wordsworth,my,country
Wordsworth,my,country's
Wordsworth,my,country
Wordsworth,my,way
Wordsworth,my,youth
Wordsworth,my,country
Wordsworth,my,side
Wordsworth,my,country
Wordsworth,my,heart
Wordsworth,my,affection
Wordsworth,my,way
Wordsworth,my,pen
Wordsworth,my,sight
Wordsworth,my,heart
Wordsworth,my,country's
Wordsworth,my,heart
Wordsworth,my,forebodings
Wordsworth,my,heart
Wordsworth,my,thoughts
Wordsworth,my,deeds
Wordsworth,my,soul's
Wordsworth,my,fire
Wordsworth,my,fault
Wordsworth,my,sins
Wordsworth,my,years
Wordsworth,my,tongue
Wordsworth,my,heart
Wordsworth,my,thought
Wordsworth,my,lot
Wordsworth,my,theme
Wordsworth,my,seat
Wordsworth,my,verse
Wordsworth,my,frame
Wordsworth,my,path
Wordsworth,my,heart
Wordsworth,my,steps
Wordsworth,my,way
Wordsworth,my,partner
Wordsworth,my,guide
Wordsworth,my,eyes
Wordsworth,my,feet
Wordsworth,my,sight
Wordsworth,my,dreams
Wordsworth,my,furniture
Wordsworth,my,bed
Wordsworth,my,night-watch
Wordsworth,my,oarsmen
Wordsworth,my,song
Wordsworth,my,heart
Wordsworth,my,fancy
Wordsworth,my,soul
Wordsworth,my,country
Wordsworth,my,dream
Wordsworth,my,spring-time
Wordsworth,my,redeemer
Wordsworth,my,way
Wordsworth,my,spirit
Wordsworth,my,path
Wordsworth,my,soul
Wordsworth,my,parents
Wordsworth,my,little-ones
Wordsworth,my,trust
Wordsworth,my,offspring
Wordsworth,my,dungeon
Wordsworth,my,courts
Wordsworth,my,brow
Wordsworth,my,ear
Wordsworth,my,mind
Wordsworth,my,brow
Wordsworth,my,way
Wordsworth,my,life's
Wordsworth,my,spirit
Wordsworth,my,bands
Wordsworth,my,country
Wordsworth,my,fireside
Wordsworth,my,sight
Wordsworth,my,chance-acquaintance
Wordsworth,my,desire
Wordsworth,my,cottage-fire
Wordsworth,my,boat
Wordsworth,my,name
Wordsworth,my,days
Smith,my,hours
Smith,my,head
Smith,my,lot
Smith,my,breast
Smith,my,song
Smith,my,care
Smith,my,haunts
Smith,my,path
Smith,my,cares
Smith,my,cure
Smith,my,days
Smith,my,view
Smith,my,anna
Smith,my,head
Smith,my,seat
Smith,my,soul
Smith,my,veins
Smith,my,blood
Smith,my,soul
Smith,my,heart
Smith,my,destiny
Smith,my,heart
Smith,my,heart
Smith,my,eyes
Smith,my,grief
Smith,my,passion
Smith,my,flame
Smith,my,flame
Smith,my,love
Smith,my,song
Smith,my,treasure
Smith,my,sight
Smith,my,sorrow
Smith,my,tears
Smith,my,fate
Smith,my,eyes
Smith,my,hopes
Smith,my,passion
Smith,my,soul
Smith,my,tomb
Smith,my,bed
Smith,my,charlotte's
Smith,my,heart
Smith,my,sorrows
Smith,my,anna's
Smith,my,days
Smith,my,lays
Smith,my,friend
Smith,my,fate
Smith,my,lays
Smith,my,mind
Smith,my,bosom
Smith,my,way
Smith,my,wishes
Smith,my,spirit
Smith,my,emmeline
Smith,my,soul
Smith,my,brain
Smith,my,soul
Smith,my,vows
Smith,my,destiny
Smith,my,soul
Smith,my,view
Smith,my,childhood
Smith,my,world
Smith,my,empire
Smith,my,throne
Smith,my,soul
Smith,my,lot
Smith,my,sense
Smith,my,harriet
Smith,my,heart
Smith,my,senses
Smith,my,soul
Smith,my,fancy
Smith,my,way
Smith,my,heart
Smith,my,fate
Smith,my,despair
Smith,my,breast
Smith,my,heart
Smith,my,breast
Smith,my,way
Smith,my,soul
Smith,my,miseries
Smith,my,cares
Smith,my,tears
Smith,my,and
Smith,my,eyes
Smith,my,mood
Smith,my,sight
Smith,my,misery
Smith,my,night
Smith,my,memory
Smith,my,woes
Smith,my,soul
Smith,my,breast
Smith,my,angel
Smith,my,youth
Smith,my,fate
Wordsworth,I,foretell
Wordsworth,I,feel
Wordsworth,I,sojourned
Wordsworth,I,found
Wordsworth,I,chanted
Wordsworth,I,heard
Wordsworth,I,knew
Wordsworth,I,guessed
Wordsworth,I,find
Wordsworth,I,present
Wordsworth,I,have found
Wordsworth,I,said
Wordsworth,I,shall con
Wordsworth,I,came
Wordsworth,I,had
Wordsworth,I,stood
Wordsworth,I,looked
Wordsworth,I,stared
Wordsworth,I,smiled
Wordsworth,I,laughed
Wordsworth,I,should rear
Wordsworth,I,might dwell
Wordsworth,I,crowded
Wordsworth,I,have risen
Wordsworth,I,step forth
Wordsworth,I,quit
Wordsworth,I,have
Wordsworth,I,am
Wordsworth,I,call
Wordsworth,I,have thought
Wordsworth,I,do lie
Wordsworth,I,lay
Wordsworth,I,could not win
Wordsworth,I,gazed
Wordsworth,I,sighed
Wordsworth,I,be
Wordsworth,I,have seen
Wordsworth,I,see
Wordsworth,I,ask
Wordsworth,I,may be
Wordsworth,I,affirm
Wordsworth,I,make
Wordsworth,I,pray
Wordsworth,I,may tread
Wordsworth,I,may have
Wordsworth,I,may sound
Wordsworth,I,turned
Wordsworth,I,could forget
Wordsworth,I,have been beguiled
Wordsworth,I,stood
Wordsworth,I,saw
Wordsworth,I,clomb
Wordsworth,I,beheld
Wordsworth,I,ask
Wordsworth,I,espy
Wordsworth,I,was
Wordsworth,I,pursued
Wordsworth,I,prefer
Wordsworth,I,would be
Wordsworth,I,might have
Wordsworth,I,might have
Wordsworth,I,might hear
Wordsworth,I,owed
Wordsworth,I,might stray
Wordsworth,I,liked
Wordsworth,I,array
Wordsworth,I,have loved
Wordsworth,I,meditate
Wordsworth,I,think
Wordsworth,I,shrink
Wordsworth,I,leap
Wordsworth,I,watch
Wordsworth,I,have watched
Wordsworth,I,heard
Wordsworth,I,awoke
Wordsworth,I,breathe
Wordsworth,I,cannot brood
Wordsworth,I,praise
Wordsworth,I,see
Wordsworth,I,forget
Wordsworth,I,rifled
Wordsworth,I,culled
Wordsworth,I,ventured
Wordsworth,I,was shaping
Wordsworth,I,was planting
Wordsworth,I,gave
Wordsworth,I,trust
Wordsworth,I,had
Wordsworth,I,find
Wordsworth,I,set up
Wordsworth,I,would not do
Wordsworth,I,felt
Wordsworth,I,repent not
Wordsworth,I,slight
Wordsworth,I,receive
Wordsworth,I,claim
Wordsworth,I,behold
Wordsworth,I,venture
Wordsworth,I,have heard
Wordsworth,I,seem
Wordsworth,I,am
Wordsworth,I,let
Wordsworth,I,behold
Wordsworth,I,compare
Wordsworth,I,stood
Wordsworth,I,feel
Wordsworth,I,applaud
Wordsworth,I,beheld
Wordsworth,I,gazed
Wordsworth,I,see
Wordsworth,I,have done wrong
Wordsworth,I,perceive
Wordsworth,I,will forth
Wordsworth,I,will front
Wordsworth,I,err
Wordsworth,I,crave
Wordsworth,I,received
Wordsworth,I,gazed
Wordsworth,I,heard
Wordsworth,I,call
Wordsworth,I,speak
Wordsworth,I,think
Wordsworth,I,linger
Wordsworth,I,went pacing
Wordsworth,I,heard
Wordsworth,I,grieved
Wordsworth,I,have seen
Wordsworth,I,have bent
Wordsworth,I,looked round
Wordsworth,I,found
Wordsworth,I,stood
Wordsworth,I,saw
Wordsworth,I,shrunk
Wordsworth,I,know not
Wordsworth,I,must look
Wordsworth,I,am
Wordsworth,I,have borne
Wordsworth,I,had
Wordsworth,I,am
Wordsworth,I,think
Wordsworth,I,am
Wordsworth,I,was beguiled
Wordsworth,I,see
Wordsworth,I,find
Wordsworth,I,can venerate
Wordsworth,I,measure
Wordsworth,I,have trod
Wordsworth,I,tremble
Wordsworth,I,weigh
Wordsworth,I,consult
Wordsworth,I,explore
Wordsworth,I,look
Wordsworth,I,listen
Wordsworth,I,may triumph
Wordsworth,I,dropped
Wordsworth,I,listened
Wordsworth,I,thought
Wordsworth,I,sustain
Wordsworth,I,like
Wordsworth,I,saw
Wordsworth,I,might claim
Wordsworth,I,seek
Wordsworth,I,listen
Wordsworth,I,recline
Wordsworth,I,can behold
Wordsworth,I,think
Wordsworth,I,enjoy
Wordsworth,I,gaze
Wordsworth,I,have watched
Wordsworth,I,saw
Wordsworth,I,learned
Wordsworth,I,smiled
Wordsworth,I,spied
Wordsworth,I,stood
Wordsworth,I,gazed
Wordsworth,I,gazed
Wordsworth,I,dared
Wordsworth,I,sate down
Wordsworth,I,filled
Wordsworth,I,mingle
Wordsworth,I,raise
Wordsworth,I,inform
Wordsworth,I,feel
Wordsworth,I,burn
Wordsworth,I,turn
Wordsworth,I,shun
Wordsworth,I,flee
Wordsworth,I,could not part 
Wordsworth,I,feign not
Wordsworth,I,share
Wordsworth,I,compare
Wordsworth,I,heard
Wordsworth,I,heard
Wordsworth,I,seek
Wordsworth,I,paint
Wordsworth,I,give way
Wordsworth,I,pursue
Wordsworth,I,caught
Wordsworth,I,saw
Wordsworth,I,caught
Wordsworth,I,turn
Wordsworth,I,laugh
Wordsworth,I,roved
Wordsworth,I,pursued
Wordsworth,I,viewed
Wordsworth,I,tracked
Wordsworth,I,rose
Wordsworth,I,thanked
Wordsworth,I,choose
Wordsworth,I,thought
Wordsworth,I,cast
Wordsworth,I,see
Wordsworth,I,saw
Wordsworth,I,roamed
Wordsworth,I,have in mind
Wordsworth,I,crave
Wordsworth,I,accompanied
Wordsworth,I,loved
Wordsworth,I,essayed
Wordsworth,I,smote
Wordsworth,I,won
Wordsworth,I,seek
Wordsworth,I,mark
Wordsworth,I,watch
Wordsworth,I,absolve
Wordsworth,I,see
Wordsworth,I,am
Wordsworth,I,ween
Wordsworth,I,could trip o'er
Wordsworth,I,saw
Wordsworth,I,loved
Wordsworth,I,gazed
Wordsworth,I,partake
Wordsworth,I,deplore
Wordsworth,I,wore
Wordsworth,I,saw
Wordsworth,I,know
Wordsworth,I,dread
Wordsworth,I,marked
Wordsworth,I,speak
Wordsworth,I,hear
Wordsworth,I,ask
Wordsworth,I,was nursed
Wordsworth,I,am
Wordsworth,I,repose
Wordsworth,I,hope
Wordsworth,I,repent
Wordsworth,I,must bear
Wordsworth,I,did make
Wordsworth,I,ploughed
Wordsworth,I,did range
Wordsworth,I,went
Wordsworth,I,remain
Wordsworth,I,strove
Wordsworth,I,strove
Wordsworth,I,endure
Wordsworth,I,have found
Wordsworth,I,have
Wordsworth,I,went
Wordsworth,I,remain
Wordsworth,I,seek
Wordsworth,I,pray
Wordsworth,I,note
Wordsworth,I,thank
Wordsworth,I,say
Wordsworth,I,heard
Wordsworth,I,dare
Wordsworth,I,viewed
Wordsworth,I,confess
Wordsworth,I,pay
Wordsworth,I,have traced
Wordsworth,I,saw
Wordsworth,I,burst
Wordsworth,I,cry
Wordsworth,I,applaud
Wordsworth,I,sought
Wordsworth,I,am
Wordsworth,I,find
Wordsworth,I,am
Wordsworth,I,listen
Wordsworth,I,nor can not believe
Wordsworth,I,live
Wordsworth,I,have
Wordsworth,I,have
Wordsworth,I,end
Clare,I,view
Clare,I,fling
Clare,I,wish
Clare,I,could be
Clare,I,would wish
Clare,I,had caught
Clare,I,wander'd
Clare,I,love
Clare,I,stretch
Clare,I,love
Clare,I,have been
Clare,I,have sheltered
Clare,I,have wandered
Clare,I,have been
Clare,I,bound
Clare,I,repine
Clare,I,turn
Clare,I,look
Clare,I,sigh
Clare,I,long
Clare,I,wait
Clare,I,delight
Clare,I,love
Clare,I,will listen
Clare,I,have found
Clare,I,have found
Clare,I,pursue
Clare,I,can possess
Clare,I,esteem
Clare,I,sit
Clare,I,am
Clare,I,wander
Clare,I,have wooed
Clare,I,thrown by
Clare,I,take
Clare,I,have learned
Clare,I,have stood
Clare,I,have braved
Clare,I,have cursed
Clare,I,have brought
Clare,I,will kiss
Clare,I,will smile
Clare,I,have learned
Clare,I,have learned
Clare,I,bend
Clare,I,can't be
Clare,I,am
Clare,I,am denied
Clare,I,love
Clare,I,have been led
Clare,I,have stood
Clare,I,had
Clare,I,should be
Clare,I,find
Clare,I,thought
Clare,I,decline
Clare,I,know
Clare,I,pondered
Clare,I,questioned
Clare,I,answer
Clare,I,drew
Clare,I,have listened
Clare,I,did prove
Clare,I,think
Clare,I,do delight
Clare,I,feel
Clare,I,pluck
Clare,I,stick
Clare,I,mean
Clare,I,feel
Clare,I,may be
Clare,I,have known
Clare,I,will be
Clare,I,leave
Clare,I,feel
Clare,I,mingle
Clare,I,stretch
Clare,I,should love
Clare,I,have shaken
Clare,I,got thro
Clare,I,turn
Clare,I,may witness
Clare,I,lye
Clare,I,can heed
Clare,I,was
Clare,I,may view
Clare,I,love
Clare,I,find
Clare,I,view
Clare,I,have done
Clare,I,bend
Clare,I,dropped
Clare,I,cut
Clare,I,felt
Clare,I,may say
Clare,I,feign had slept
Clare,I,feign had looked
Clare,I,view
Clare,I,would not change
Clare,I,have seen
Clare,I,have seen
Clare,I,could wish
Clare,I,possest
Clare,I,will eat
Clare,I,am
Clare,I,address
Clare,I,will linger
Clare,I,will count
Clare,I,seek
Clare,I,care not
Clare,I,am looking
Clare,I,wish
Clare,I,mourn
Clare,I,had been
Clare,I,linger
Clare,I,have stood
Clare,I,have paused
Clare,I,have warmed
Clare,I,have looked
Clare,I,have warmed
Clare,I,will join
Clare,I,have been taken
Clare,I,hung
Clare,I,see
Clare,I,have not learned
Clare,I,remember
Clare,I,used to dread
Clare,I,shuddered
Clare,I,have read
Clare,I,knew
Clare,I,was
Clare,I,had not
Clare,I,meet
Clare,I,love
Clare,I,address
Clare,I,feel
Clare,I,love
Clare,I,love
Clare,I,have roamed
Clare,I,have cropped
Clare,I,joyed
Clare,I,have wandered
Clare,I,love
Clare,I,be nipped
Clare,I,be depressed
Clare,I,sing
Clare,I,can see
Clare,I,paused
Clare,I,stooped down
Clare,I,did watch
Clare,I,have got
Clare,I,would climb
Clare,I,have stretched
Clare,I,have tried
Clare,I,have scrambled
Clare,I,witnessd
Clare,I,mixed
Clare,I,could repeat
Clare,I,roamed
Clare,I,chased
Clare,I,could sing
Clare,I,leave
Clare,I,hear
Clare,I,feign would tempt
Clare,I,feign would wind
Clare,I,wish
Clare,I,stretch
Clare,I,watch
Clare,I,reclined
Clare,I,watched
Clare,I,thought
Clare,I,have hoped
Clare,I,shall hope
Clare,I,love
Clare,I,love
Clare,I,would be
Clare,I,have been
Clare,I,met
Clare,I,know not
Clare,I,met
Clare,I,love
Clare,I,recline
Clare,I,love
Clare,I,love
Clare,I,feel
Clare,I,love
Clare,I,love
Clare,I,do love
Clare,I,view
Clare,I,retreat
Clare,I,name
Clare,I,boast
Clare,I,call
Clare,I,had been
Clare,I,had seen
Clare,I,am
Clare,I,address
Clare,I,sought
Clare,I,reached
Clare,I,started
Clare,I,felt
Clare,I,saw
Clare,I,would have plunged
Clare,I,have been wishing
Clare,I,have sighed
Clare,I,will
Clare,I,cannot borrow
Clare,I,think
Clare,I,think
Clare,I,sigh
Clare,I,feel
Clare,I,shape
Clare,I,love
Clare,I,love
Clare,I,walked
Clare,I,went
Clare,I,strayd
Clare,I,read
Clare,I,wander
Clare,I,saw
Clare,I,meet
Clare,I,note
Clare,I,proceed
Clare,I,tell
Clare,I,have felt
Clare,I,have found
Clare,I,have turned
Clare,I,found
Clare,I,arose
Clare,I,thought
Clare,I,was
Clare,I,had known
Clare,I,could not wake
Clare,I,found
Clare,I,proged
Clare,I,passed
Clare,I,went away
Clare,I,looked
Clare,I,fancied
Clare,I,turned
Clare,I,ran
Clare,I,wondered
Clare,I,pushed
Clare,I,stood
Clare,I,went away
Clare,I,found
Clare,I,thought
Clare,I,hate
Clare,I,would be
Clare,I,turn
Clare,I,go on
Clare,I,love
Clare,I,tell
Clare,I,love
Clare,I,know
Clare,I,longed
Clare,I,passed
Clare,I,let
Clare,I,loved
Clare,I,felt
Clare,I,dare not
Clare,I,thought
Clare,I,felt
Clare,I,tried
Clare,I,longed
Clare,I,read
Clare,I,went
Clare,I,thought
Clare,I,cannot know
Clare,I,knew
Clare,I,saw
Clare,I,wished
Clare,I,wrote
Clare,I,love
Clare,I,dreaded
Clare,I,pressed
Clare,I,turned
Clare,I,feared
Clare,I,had gone
Clare,I,ventured
Clare,I,gained
Clare,I,fancied
Clare,I,have thought
Clare,I,feel
Clare,I,cannot use
Clare,I,wandered
Clare,I,saw
Clare,I,wondered
Clare,I,thought
Clare,I,scrambled
Clare,I,hoped
Clare,I,turned
Clare,I,sluthered
Clare,I,went
Clare,I,looked
Clare,I,asked
Clare,I,wandered
Clare,I,chanced
Clare,I,did dwell
Clare,I,have seen
Clare,I,went
Clare,I,thought
Clare,I,felt
Clare,I,looked
Clare,I,trampled
Clare,I,felt
Clare,I,see
Clare,I,trembled
Clare,I,found
Clare,I,could get
Clare,I,put
Clare,I,have stood
Clare,I,have not seen
Clare,I,have swarmed
Clare,I,could get
Clare,I,have found
Clare,I,got
Clare,I,have clumb
Clare,I,saw
Clare,I,have seen
Clare,I,love
Clare,I,love
Clare,I,love
Clare,I,dare not
Clare,I,reach
Clare,I,look
Clare,I,chanced
Clare,I,looked
Clare,I,stooped
Clare,I,wondered
Clare,I,wandered
Clare,I,have found
Clare,I,send
Clare,I,dedicate
Clare,I,have read
Clare,I,have read
Clare,I,do long
Clare,I,have loved
Clare,I,love
Clare,I,was
Clare,I,trifle
Clare,I,love
Clare,I,love
Clare,I,love
Clare,I,love
Clare,I,delight
Clare,I,jadge not
Clare,I,did dwell
Clare,I,can bear
Clare,I,ween
Clare,I,know
Clare,I,feel
Clare,I,have drawn
Clare,I,will hie
Clare,I,will rest
Clare,I,am
Clare,I,would not
Clare,I,would not
Clare,I,feign would have
Clare,I,heard
Clare,I,drank
Clare,I,watched
Clare,I,witnessed
Clare,I,stoop
Clare,I,gathered
Clare,I,had
Clare,I,scramble
Clare,I,roam
Clare,I,love
Clare,I,love
Clare,I,rave
Clare,I,hide
Clare,I,might breath
Clare,I,would not flatter
Clare,I,would not pretend
Clare,I,can descry
Clare,I,did presage
Clare,I,heard
Clare,I,pause
Clare,I,sit
Clare,I,stoop
Clare,I,think
Clare,I,hear
Clare,I,have seen
Clare,I,stood
Clare,I,sit
Clare,I,lean
Clare,I,stand
Clare,I,have known
Clare,I,cannot see
Clare,I,roam
Clare,I,stretch
Clare,I,hum
Clare,I,walk
Clare,I,hear
Clare,I,saw
Clare,I,gaze
Clare,I,ope
Clare,I,see
Clare,I,love
Clare,I,pluck
Clare,I,tread
Clare,I,feel
Clare,I,sit
Clare,I,had known
Clare,I,had known
Clare,I,had been left
Clare,I,had been brought up
Clare,I,hail
Clare,I,lie
Clare,I,recline
Clare,I,grieve
Clare,I,pass
Clare,I,see
Clare,I,have met
Clare,I,have ventured
Clare,I,have rambled
Clare,I,mark
Clare,I,sigh
Clare,I,muse
Clare,I,love
Clare,I,have thought
Clare,I,have seen
Clare,I,had
Clare,I,have thought
Clare,I,climb
Clare,I,feel
Clare,I,hail
Clare,I,turn
Clare,I,view
Clare,I,feel
Clare,I,see
Clare,I,feel
Clare,I,be
Clare,I,will be
Clare,I,have seen
Clare,I,love
Clare,I,have seen
Clare,I,can't describe
Clare,I,can lie
Clare,I,can track
Clare,I,pass
Clare,I,bend
Clare,I,wind
Clare,I,mark
Clare,I,took
Clare,I,wandered
Clare,I,have seen
Clare,I,could look
Clare,I,thought
Clare,I,could have wasted
Clare,I,cannot help
Clare,I,have seen
Clare,I,pass
Clare,I,marvel
Clare,I,may
Clare,I,gather
Clare,I,find
Clare,I,am
Clare,I,employ
Clare,I,feel
Clare,I,have wondered
Clare,I,pause
Clare,I,pass
Clare,I,have seen
Clare,I,delight
Clare,I,love
Clare,I,walk
Clare,I,love
Clare,I,love
Clare,I,look
Clare,I,will wander
Clare,I,feel
Clare,I,will go
Clare,I,wish
Clare,I,felt
Clare,I,hie
Clare,I,read
Clare,I,used to read
Clare,I,used to mark
Clare,I,hied
Clare,I,wished
Clare,I,pass
Clare,I,meet
Clare,I,peep
Clare,I,find
Clare,I,love
Clare,I,love
Clare,I,love
Clare,I,hear
Clare,I,love
Clare,I,love
Clare,I,love
Clare,I,love
Clare,I,knew
Clare,I,have stood
Clare,I,have looked
Clare,I,have
Clare,I,have brought
Clare,I,got
Clare,I,loved
Clare,I,loved
Clare,I,stood
Clare,I,could not bear
Clare,I,have gone
Clare,I,have tried
Clare,I,could not try
Clare,I,have sat
Clare,I,have mocked
Clare,I,thought
Clare,I,could act
Clare,I,knew
Clare,I,will hazard
Clare,I,will be cheated
Clare,I,will stick
Clare,I,live
Clare,I,murmer
Clare,I,complain
Clare,I,am
Clare,I,hear
Clare,I,feel
Clare,I,am
Clare,I,know
Clare,I,am
